2021-03-20 18:19:57,014 INFO    : 在MainPage页面
2021-03-20 18:19:57,057 INFO    : 准备进行goto_contact操作
2021-03-20 18:19:57,060 INFO    : 获取到goto_contact操作的元素数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'find_click'}]
2021-03-20 18:19:57,061 INFO    : goto_contact操作变量替换后的数据：[{'locator': ['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"], 'action': 'find_click'}]
2021-03-20 18:19:57,062 INFO    : 对['xpath', "//*[@class='android.widget.TextView' and @text='通讯录']"]进行点击操作。
2021-03-20 18:19:59,707 INFO    : 在ContactPage页面
2021-03-20 18:19:59,734 INFO    : 准备进行add_member操作
2021-03-20 18:19:59,746 INFO    : 获取到add_member操作的元素数据：[{'locator': '添加成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@text="手动输入添加"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]'], 'action': 'send', 'value': '${name}'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]'], 'action': 'send', 'value': '${phone}'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@text="添加成功"]'], 'action': 'find'}]
2021-03-20 18:19:59,747 INFO    : add_member操作变量替换后的数据：[{'locator': '添加成员', 'action': 'scroll_find'}, {'locator': ['xpath', '//*[@text="手动输入添加"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]'], 'action': 'send', 'value': 'aaa_5584'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]'], 'action': 'send', 'value': '13000005584'}, {'locator': ['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]'], 'action': 'find_click'}, {'locator': ['xpath', '//*[@text="添加成功"]'], 'action': 'find'}]
2021-03-20 18:19:59,748 INFO    : 对添加成员进行滑动查找操作
2021-03-20 18:20:09,996 INFO    : 对['xpath', '//*[@text="手动输入添加"]']进行点击操作。
2021-03-20 18:20:11,475 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/b7m"]']输入值aaa_5584。
2021-03-20 18:20:12,879 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/fwi"]']输入值13000005584。
2021-03-20 18:20:13,959 INFO    : 对['xpath', '//*[@resource-id="com.tencent.wework:id/aj_"]']进行点击操作。
2021-03-20 18:20:14,541 INFO    : 对['xpath', '//*[@text="添加成功"]']进行查找操作。
2021-03-20 18:20:16,758 INFO    : 在ContactPage页面
